"file";"prod";"suj";"rep";"resp";"miseEnBouche_s";"miseEnBouche_scan";"plusRienEnBouche_s";"plusRienEnBouche_scan";"finTimeSens_scan";"finTimeSens_s";"finPTR_scan";"finPTR_s";"product";"subject"
"CSCA098_S002_2.txt";NA;"S002";1;"m69.06906..69.06906...Conc.";0.123916386921047;NA;NA;NA;NA;83.339;NA;135.7114310265;"C";"S002"
"CSCA098_S002_3.txt";NA;"S002";1;"m69.06906..69.06906...Conc.";36.9334736507931;NA;NA;NA;NA;71.099;NA;129.81093125;"B";"S002"
"CSCA098_S002_4.txt";NA;"S002";1;"m69.06906..69.06906...Conc.";39.0204533365172;NA;NA;NA;NA;81.913;NA;140.6618433;"A";"S002"
"CSCA098_S002_5.txt2.txt";NA;"S002";2;"m69.06906..69.06906...Conc.";38.5032934402953;NA;NA;NA;NA;82.819;NA;154.563012123;"B";"S002"
"CSCA098_S002_6.txt";NA;"S002";2;"m69.06906..69.06906...Conc.";35.1789183748037;NA;NA;NA;NA;79.475;NA;137.66158775;"C";"S002"
"CSCA098_S002_7.txt";NA;"S002";2;"m69.06906..69.06906...Conc.";37.9639952549493;NA;NA;NA;NA;74.456;NA;148.41249135;"A";"S002"
"CSCA098_S006_2.txt";NA;"S006";1;"m69.06906..69.06906...Conc.";41.3056510295635;NA;NA;NA;NA;105.209;NA;156.81319905;"C";"S006"
"CSCA098_S006_3.txt";NA;"S006";1;"m69.06906..69.06906...Conc.";42.3087138186804;NA;NA;NA;NA;85.96;NA;141.41190055;"A";"S006"
"CSCA098_S006_4.txt";NA;"S006";1;"m69.06906..69.06906...Conc.";39.4869014085666;NA;NA;NA;NA;100.092;NA;151.01270745;"B";"S006"
"CSCA098_S006_5.txt";NA;"S006";2;"m69.06906..69.06906...Conc.";41.7472648434617;NA;NA;NA;NA;104.796;NA;166.51401045;"C";"S006"
"CSCA098_S006_6.txt";NA;"S006";2;"m69.06906..69.06906...Conc.";37.836105447338;NA;NA;NA;NA;100.13;NA;148.6125028;"B";"S006"
"CSCA098_S006_7.txt";NA;"S006";2;"m69.06906..69.06906...Conc.";38.8293766371147;NA;NA;NA;NA;97.217;NA;142.06195;"A";"S006"
"CSCA100_S001_2.txt";NA;"S001";1;"m69.06906..69.06906...Conc.";40.0220564651599;NA;NA;NA;NA;90.032;NA;138.11163095;"A";"S001"
"CSCA100_S001_3.txt";NA;"S001";1;"m69.06906..69.06906...Conc.";35.1078684783355;NA;NA;NA;NA;139.826;NA;193.0162501;"C";"S001"
"CSCA100_S001_4.txt";NA;"S001";1;"m69.06906..69.06906...Conc.";0.141197694088266;NA;NA;NA;NA;123.002;NA;178.9150598;"B";"S001"
"CSCA100_S001_5.txt";NA;"S001";2;"m69.06906..69.06906...Conc.";43.3036554296789;NA;NA;NA;NA;134.604;NA;194.4663665;"C";"S001"
"CSCA100_S001_6.txt";NA;"S001";2;"m69.06906..69.06906...Conc.";0.215419122101484;NA;NA;NA;NA;100.974;NA;154.66301585;"A";"S001"
"CSCA100_S001_7.txt";NA;"S001";2;"m69.06906..69.06906...Conc.";37.1112832723946;NA;NA;NA;NA;100.65;NA;154.91303685;"B";"S001"
"CSCA100_S003_2.txt";NA;"S003";1;"m69.06906..69.06906...Conc.";37.799098338564;NA;NA;NA;NA;90.706;NA;142.1119764;"B";"S003"
"CSCA100_S003_3.txt";NA;"S003";1;"m69.06906..69.06906...Conc.";40.8538156148277;NA;NA;NA;NA;83.4;NA;134.6113424;"A";"S003"
"CSCA100_S003_4.txt";NA;"S003";1;"m69.06906..69.06906...Conc.";36.2352806974816;NA;NA;NA;NA;94.807;NA;140.3618257;"C";"S003"
"CSCA100_S003_5.txt";NA;"S003";2;"m69.06906..69.06906...Conc.";46.319580305088;NA;NA;NA;NA;83.654;NA;143.71210695;"A";"S003"
"CSCA100_S003_6.txt";NA;"S003";2;"m69.06906..69.06906...Conc.";38.72379699733;NA;NA;NA;NA;69.96;NA;127.11070725;"B";"S003"
"CSCA100_S003_7.txt";NA;"S003";2;"m69.06906..69.06906...Conc.";39.419895776793;NA;NA;NA;NA;76.891;NA;129.21088385;"C";"S003"
"CSCA102_S005_2.txt";NA;"S005";1;"m69.06906..69.06906...Conc.";41.1956289756255;NA;NA;NA;NA;62.605;NA;116.8598278;"A";"S005"
"CSCA102_S005_3.txt";NA;"S005";1;"m69.06906..69.06906...Conc.";40.3081803854674;NA;NA;NA;NA;65.892;NA;123.61039355;"B";"S005"
"CSCA102_S005_4.txt";NA;"S005";1;"m69.06906..69.06906...Conc.";41.8432245449719;NA;NA;NA;NA;70.859;NA;133.2612035;"C";"S005"
"CSCA102_S005_5.txt";NA;"S005";2;"m69.06906..69.06906...Conc.";41.5756509057177;NA;NA;NA;NA;64.329;NA;122.86032795;"A";"S005"
"CSCA102_S005_6.txt";NA;"S005";2;"m69.06906..69.06906...Conc.";37.9755298794587;NA;NA;NA;NA;65.162;NA;117.3598647;"C";"S005"
"CSCA102_S005_7.txt";NA;"S005";2;"m69.06906..69.06906...Conc.";36.989995945052;NA;NA;NA;NA;66.938;NA;117.9599147;"B";"S005"
"CSCA102_S007_2.txt";NA;"S007";1;"m69.06906..69.06906...Conc.";14.5193821272512;NA;NA;NA;NA;102.634;NA;152.51282885;"B";"S007"
"CSCA102_S007_3.txt";NA;"S007";1;"m69.06906..69.06906...Conc.";0.394605848913551;NA;NA;NA;NA;103.92;NA;148.91252235;"C";"S007"
"CSCA102_S007_4.txt";NA;"S007";1;"m69.06906..69.06906...Conc.";39.7441542161048;NA;NA;NA;NA;84.818;NA;132.71115735;"A";"S007"
"CSCA102_S007_5.txt";NA;"S007";2;"m69.06906..69.06906...Conc.";37.2918137393974;NA;NA;NA;NA;89.58;NA;134.31129025;"B";"S007"
"CSCA102_S007_6.txt";NA;"S007";2;"m69.06906..69.06906...Conc.";40.5656202439985;NA;NA;NA;NA;85.713;NA;136.86150285;"A";"S007"
"CSCA102_S007_7.txt";NA;"S007";2;"m69.06906..69.06906...Conc.";38.3818648489115;NA;NA;NA;NA;95.003;NA;143.06202245;"C";"S007"
"CSCA103_S004_2.txt";NA;"S004";1;"m69.06906..69.06906...Conc.";42.305712181108;NA;NA;NA;NA;115.877;NA;166.21395945;"B";"S004"
"CSCA103_S004_3.txt";NA;"S004";1;"m69.06906..69.06906...Conc.";39.8631566037979;NA;NA;NA;NA;119.811;NA;168.91418365;"C";"S004"
"CSCA103_S004_4.txt";NA;"S004";1;"m69.06906..69.06906...Conc.";41.8245868016549;NA;NA;NA;NA;132.459;NA;186.26563835;"A";"S004"
"CSCA103_S004_5.txt";NA;"S004";2;"m69.06906..69.06906...Conc.";39.804785564354;NA;NA;NA;NA;105.211;NA;154.3629601;"B";"S004"
"CSCA103_S004_6.txt";NA;"S004";2;"m69.06906..69.06906...Conc.";43.9871952595134;NA;NA;NA;NA;133.786;NA;186.1156261;"A";"S004"
"CSCA103_S004_7.txt";NA;"S004";2;"m69.06906..69.06906...Conc.";51.1344168392427;NA;NA;NA;NA;135.145;NA;184.7155068;"C";"S004"
"CSCA104_S009_2.txt";NA;"S009";1;"m69.06906..69.06906...Conc.";37.1977199695894;NA;NA;NA;NA;88.069;NA;138.81167695;"C";"S009"
"CSCA104_S009_3.txt";NA;"S009";1;"m69.06906..69.06906...Conc.";11.6028066112634;NA;NA;NA;NA;82.555;NA;137.81159015;"A";"S009"
"CSCA104_S009_4.txt";NA;"S009";1;"m69.06906..69.06906...Conc.";9.98204383396781;NA;NA;NA;NA;80.414;NA;132.46113825;"B";"S009"
"CSCA104_S009_5.txt";NA;"S009";2;"m69.06906..69.06906...Conc.";1.26288697914392;NA;NA;NA;NA;75.528;NA;124.5604725;"A";"S009"
"CSCA104_S009_6.txt";NA;"S009";2;"m69.06906..69.06906...Conc.";42.8121573222955;NA;NA;NA;NA;76.835;NA;128.11077045;"C";"S009"
"CSCA104_S009_7.txt";NA;"S009";2;"m69.06906..69.06906...Conc.";30.2869695264879;NA;NA;NA;NA;84.874;NA;133.1111901;"B";"S009"
"CSCA111_S011_2.txt";NA;"S011";1;"m69.06906..69.06906...Conc.";39.4181814953854;NA;NA;NA;NA;67.68;NA;132.36114385;"C";"S011"
"CSCA111_S011_3.txt";NA;"S011";1;"m69.06906..69.06906...Conc.";0.501066041651255;NA;NA;NA;NA;67.298;NA;126.0606115;"B";"S011"
"CSCA111_S011_4.txt";NA;"S011";1;"m69.06906..69.06906...Conc.";37.0728358569306;NA;NA;NA;NA;74.15;NA;125.71058055;"A";"S011"
"CSCA111_S011_5.txt";NA;"S011";2;"m69.06906..69.06906...Conc.";39.2008716729414;NA;NA;NA;NA;83.77;NA;131.81109235;"A";"S011"
"CSCA111_S011_6.txt";NA;"S011";2;"m69.06906..69.06906...Conc.";37.6262002188297;NA;NA;NA;NA;70.743;NA;119.91008995;"B";"S011"
"CSCA111_S011_7.txt";NA;"S011";2;"m69.06906..69.06906...Conc.";37.83506962647;NA;NA;NA;NA;84.062;NA;136.71150255;"C";"S011"
"CSCA111_S013_2.txt";NA;"S013";1;"m69.06906..69.06906...Conc.";0.164262775797783;NA;NA;NA;NA;67.417;NA;120.610162;"B";"S013"
"CSCA111_S013_3.txt";NA;"S013";1;"m69.06906..69.06906...Conc.";32.2208724612739;NA;NA;NA;NA;64.898;NA;116.60982415;"A";"S013"
"CSCA111_S013_4.txt";NA;"S013";1;"m69.06906..69.06906...Conc.";0.343358062187554;NA;NA;NA;NA;79.532;NA;133.6112559;"C";"S013"
"CSCA111_S013_5.txt";NA;"S013";2;"m69.06906..69.06906...Conc.";4.07127062721856;NA;NA;NA;NA;110.185;NA;158.4633496;"C";"S013"
"CSCA111_S013_6.txt";NA;"S013";2;"m69.06906..69.06906...Conc.";33.2208801856959;NA;NA;NA;NA;65.871;NA;123.91043805;"A";"S013"
"CSCA111_S013_7.txt";NA;"S013";2;"m69.06906..69.06906...Conc.";35.9773357438132;NA;NA;NA;NA;104.059;NA;156.01314235;"B";"S013"
"CSCA112_S008_2.txt";NA;"S008";1;"m69.06906..69.06906...Conc.";38.1009665771156;NA;NA;NA;NA;93.162;NA;147.4124186;"A";"S008"
"CSCA112_S008_3.txt";NA;"S008";1;"m69.06906..69.06906...Conc.";36.2867783427306;NA;NA;NA;NA;84.436;NA;130.3109763;"B";"S008"
"CSCA112_S008_4.txt";NA;"S008";1;"m69.06906..69.06906...Conc.";39.3153525867278;NA;NA;NA;NA;82.26;NA;136.46149275;"C";"S008"
"CSCA112_S008_5.txt";NA;"S008";2;"m69.06906..69.06906...Conc.";34.0793062643049;NA;NA;NA;NA;85.934;NA;139.61175605;"C";"S008"
"CSCA112_S008_6.txt";NA;"S008";2;"m69.06906..69.06906...Conc.";40.1412760718575;NA;NA;NA;NA;83.374;NA;139.4617422;"B";"S008"
"CSCA112_S008_7.txt";NA;"S008";2;"m69.06906..69.06906...Conc.";38.7739596188875;NA;NA;NA;NA;72.398;NA;124.81050705;"A";"S008"
"CSCA112_S010_2.txt";NA;"S010";1;"m69.06906..69.06906...Conc.";36.4972262640244;NA;NA;NA;NA;68.043;NA;124.5604854;"A";"S010"
"CSCA112_S010_3.txt";NA;"S010";1;"m69.06906..69.06906...Conc.";33.1287278728439;NA;NA;NA;NA;73.961;NA;124.7104969;"C";"S010"
"CSCA112_S010_4.txt";NA;"S010";1;"m69.06906..69.06906...Conc.";33.7496623721803;NA;NA;NA;NA;73.501;NA;130.81100895;"B";"S010"
"CSCA112_S010_5.txt";NA;"S010";2;"m69.06906..69.06906...Conc.";36.1210505911492;NA;NA;NA;NA;76.804;NA;128.41080525;"C";"S010"
"CSCA112_S010_6.txt";NA;"S010";2;"m69.06906..69.06906...Conc.";28.92812991685;NA;NA;NA;NA;78.555;NA;135.31138425;"A";"S010"
"CSCA112_S010_7.txt";NA;"S010";2;"m69.06906..69.06906...Conc.";0.208948629620565;NA;NA;NA;NA;78.53;NA;129.7109113;"B";"S010"
"CSCA113_S015_2.txt";NA;"S015";1;"m69.06906..69.06906...Conc.";42.3109160103534;NA;NA;NA;NA;83.328;NA;145.11220355;"A";"S015"
"CSCA113_S015_3.txt";NA;"S015";1;"m69.06906..69.06906...Conc.";37.7589698299432;NA;NA;NA;NA;89.665;NA;153.71292445;"C";"S015"
"CSCA113_S015_4.txt";NA;"S015";1;"m69.06906..69.06906...Conc.";43.1177916570479;NA;NA;NA;NA;87.746;NA;155.21304845;"B";"S015"
"CSCA113_S015_5.txt";NA;"S015";2;"m69.06906..69.06906...Conc.";44.2607338392408;NA;NA;NA;NA;65.924;NA;132.4611342;"B";"S015"
"CSCA113_S015_6.txt";NA;"S015";2;"m69.06906..69.06906...Conc.";38.4839707367677;NA;NA;NA;NA;101.592;NA;161.31355815;"C";"S015"
"CSCA113_S015_7.txt";NA;"S015";2;"m69.06906..69.06906...Conc.";38.8554011537848;NA;NA;NA;NA;79.841;NA;134.0612662;"A";"S015"
"CSCA114_S016_2.txt";NA;"S016";1;"m69.06906..69.06906...Conc.";34.8926983470768;NA;NA;NA;NA;103.505;NA;162.6636641;"C";"S016"
"CSCA114_S016_3.txt";NA;"S016";1;"m69.06906..69.06906...Conc.";37.7889740445503;NA;NA;NA;NA;93.619;NA;149.2625353;"A";"S016"
"CSCA114_S016_4.txt";NA;"S016";1;"m69.06906..69.06906...Conc.";30.2253498970711;NA;NA;NA;NA;93.587;NA;189.2658913;"B";"S016"
"CSCA114_S016_5.txt";NA;"S016";2;"m69.06906..69.06906...Conc.";0.377453836413276;NA;NA;NA;NA;92.278;NA;151.06268095;"B";"S016"
"CSCA114_S016_6.txt";NA;"S016";2;"m69.06906..69.06906...Conc.";38.1834369035898;NA;NA;NA;NA;99.212;NA;155.4630492;"A";"S016"
"CSCA114_S016_7.txt";NA;"S016";2;"m69.06906..69.06906...Conc.";34.1893351173808;NA;NA;NA;NA;106.922;NA;155.9130857;"C";"S016"
"CSCA116_S012_2.txt";NA;"S012";1;"m69.06906..69.06906...Conc.";0.768137105348605;NA;NA;NA;NA;59.371;NA;105.1088338;"B";"S012"
"CSCA116_S012_3.txt";NA;"S012";1;"m69.06906..69.06906...Conc.";0.735634248892712;NA;NA;NA;NA;61.234;NA;114.8596516;"A";"S012"
"CSCA116_S012_4.txt";NA;"S012";1;"m69.06906..69.06906...Conc.";12.2697936985478;NA;NA;NA;NA;65.466;NA;118.10992335;"C";"S012"
"CSCA116_S012_5.txt";NA;"S012";2;"m69.06906..69.06906...Conc.";39.1276711192883;NA;NA;NA;NA;58.635;NA;107.20900675;"B";"S012"
"CSCA116_S012_6.txt";NA;"S012";2;"m69.06906..69.06906...Conc.";34.903073580026;NA;NA;NA;NA;65.849;NA;118.90998865;"C";"S012"
"CSCA116_S012_7.txt";NA;"S012";2;"m69.06906..69.06906...Conc.";37.9701497445884;NA;NA;NA;NA;60.89;NA;107.7590511;"A";"S012"
"CSCA116_S014_2.txt";NA;"S014";1;"m69.06906..69.06906...Conc.";40.0259913200959;NA;NA;NA;NA;78.576;NA;131.76108095;"C";"S014"
"CSCA116_S014_3.txt";NA;"S014";1;"m69.06906..69.06906...Conc.";18.267332309833;NA;NA;NA;NA;73.089;NA;119.0600102;"B";"S014"
"CSCA116_S014_4.txt";NA;"S014";1;"m69.06906..69.06906...Conc.";38.3227321220525;NA;NA;NA;NA;66.25;NA;111.60938165;"A";"S014"
"CSCA116_S014_5.txt";NA;"S014";2;"m69.06906..69.06906...Conc.";34.0389653469071;NA;NA;NA;NA;73.573;NA;123.01033835;"A";"S014"
"CSCA116_S014_6_.txt";NA;"S014";2;"m69.06906..69.06906...Conc.";36.3782438951853;NA;NA;NA;NA;81.249;NA;124.86049245;"B";"S014"
"CSCA116_S014_7.txt";NA;"S014";2;"m69.06906..69.06906...Conc.";40.7616402308642;NA;NA;NA;NA;92.589;NA;137.3115375;"C";"S014"
